City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Severo-Kurilsk,RU,50.13,few clouds,50.6789,156.125,Kak Doma
2,Atuona,PF,77.05,clear sky,-9.8,-139.0333,Villa Enata
7,Quzhou,CN,70.27,scattered clouds,28.9594,118.8686,Quzhou Jiujiu Business Hotel
8,Ca Mau,VN,78.51,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
10,Nurota,UZ,56.73,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
11,Zabol,AF,61.52,clear sky,32.25,67.25,
12,Mataura,NZ,58.35,scattered clouds,-46.1927,168.8643,Ellie's Villa
13,Cape Town,ZA,58.12,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
14,Albany,US,61.65,broken clouds,42.6001,-73.9662,
16,Bonthe,SL,76.5,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
17,Waipawa,NZ,55.6,broken clouds,-41.4122,175.5153,Tora Coastal Walk
18,Lexington Park,US,73.08,few clouds,38.2668,-76.4538,TownePlace Suites by Marriott Lexington Park Patuxent River Naval Air Station
20,Ancud,CL,57.22,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
21,Punta Arenas,CL,50.11,scattered clouds,-53.15,-70.9167,Hotel Hain
23,Quatre Cocos,MU,71.71,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
24,Carnarvon,AU,65.55,clear sky,-24.8667,113.6333,Hospitality Carnarvon
25,Kalabo,ZM,72.18,scattered clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
27,Port Alfred,ZA,64.18,overcast clouds,-33.5906,26.891,The Halyards Hotel
30,Rikitea,PF,69.6,broken clouds,-23.1203,-134.9692,People ThankYou
31,Bluff,NZ,53.87,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
33,San Carlos De Bariloche,AR,60.55,clear sky,-41.1456,-71.3082,Hotel Patagonia
34,Liwale,TZ,64.38,scattered clouds,-9.7667,37.9333,Tumaini Tulivu Lodge
37,Ialibu,PG,60.15,overcast clouds,-6.2821,143.9935,PITPIT PASPAS GUESTHOUSE
39,Yarmouth,US,68.99,clear sky,41.7057,-70.2286,Blue Rock Resort
40,Port Lincoln,AU,53.1,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
43,Kon Tum,VN,68.63,heavy intensity rain,14.35,108.0,Hoa đà spa- homestay
44,Bethel,US,65.68,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
47,Chama,CH,52.36,overcast clouds,47.1821,8.4636,City Garden Hotel
48,Brewster,US,64.96,broken clouds,41.3973,-73.6171,Heidi's Inn
49,Telde,ES,71.82,broken clouds,27.9924,-15.4192,Hotel Rural Cortijo San Ignacio Golf
50,Mar Del Plata,AR,54.09,light rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
51,Shelburne,CA,55.76,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
52,Zhanaozen,KZ,65.88,overcast clouds,43.3,52.8,K.korabay 28A
53,Vaini,TO,74.35,light rain,-21.2,-175.2,Keleti Beach Resort
54,Jabinyanah,TN,76.84,clear sky,35.035,10.9081,maison belmabrouk
56,Bredasdorp,ZA,52.48,few clouds,-34.5322,20.0403,Bredasdorp Country Manor
57,Labuhan,ID,75.94,scattered clouds,-6.8844,112.2051,DoubleFAG
